Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
545,Tân Kỳ,Nghệ An,,147257,729.2,202,22
546,Tân Lạc,Hòa Bình,,86889,532,163,16
547,Tân Phú,TP Hồ Chí Minh,quận,485348,16.1,30146,11
548,Tân Phú,Đồng Nai,,15308,776.9,197,18
549,Tân Phú Đông,Tiền Giang,,42078,223.1,189,6
550,Tân Phước,Tiền Giang,,65331,330.1,198,12
551,Tân Sơn,Phú Thọ,,85731,688.6,125,17
552,Tân Thạnh,Long An,,77537,422.9,183,13
553,Tân Trụ,Long An,,66502,106.4,625,10
554,Tân Uyên,Bình Dương,thành phố,370512,191.8,1932,12
555,Tân Uyên,Lai Châu,,58104,897.3,65,10
556,Tân Yên,Bắc Giang,,177265,208.3,851,22
557,Tánh Linh,Bình Thuận,,98516,1198.6,82,13
558,Tây Giang,Quảng Nam,,20005,913.7,22,10
559,Tây Hồ,Hà Nội,quận,160495,24.4,6578,8
560,Tây Hòa,Phú Yên,,110983,623.7,178,11
561,Tây Ninh,Tây Ninh,thành phố,133805,140,956,10
562,Tây Sơn,Bình Định,,115968,692.2,168,15
563,Thạch An,Cao Bằng,,2982,691,43,14
564,Thạch Hà,Hà Tĩnh,,140213,353.9,396,22
565,Thạch Thành,Thanh Hóa,,144343,559.2,258,25
566,Thạch Thất,Hà Nội,,216554,187.4,1156,23
567,Thái Bình,Thái Bình,thành phố,206037,68.1,3026,19
568,Thái Hòa,Nghệ An,thị xã,66127,134.8,491,9
569,Thái Nguyên,Thái Nguyên,thành phố,340403,222.9,1527,32
570,Thái Thụy,Thái Bình,,255222,268.4,951,36
571,Than Uyên,Lai Châu,,6755,792.5,85,12
572,Thăng Bình,Quảng Nam,,173726,412.4,421,22
573,Thanh Ba,Phú Thọ,,11547,194.7,593,19
574,Thanh Bình,Đồng Tháp,,134903,341.9,395,13
575,Thanh Chương,Nghệ An,,240808,1130.4,213,38
576,Thanh Hà,Hải Dương,,136858,140.7,973,20
577,Thanh Hóa,Thanh Hóa,thành phố,35991,145.4,2475,34
578,Thạnh Hóa,Long An,,56074,467.9,120,11
579,Thanh Khê,Đà Nẵng,quận,185064,9.5,1948,10
580,Thanh Liêm,Hà Nam,,118569,164.9,719,16
581,Thanh Miện,Hải Dương,,137537,123.5,1114,17
582,Thanh Oai,Hà Nội,,211029,123.9,1703,21
583,Thạnh Phú,Bến Tre,,127841,426.5,300,18
584,Thanh Sơn,Phú Thọ,,133132,621.1,214,23
